Population,HPIQuartile,Vaccinated
3792,4,3213.1804060724303
4221,4,3583.837351103373
5497,4,4631.04244379997
2939,4,2481.6851980332954
3948,4,3320.030645678737
3261,4,2761.972016565469
8253,4,6615.229398457922
4359,4,3497.642277090998
4563,4,3875.4304300832932
3479,4,2957.194600796202
5464,4,4397.611848487159
4946,4,4195.006279987449
7768,4,6060.658899023463
4479,4,3514.7701677657324
4330,4,3398.1438972523124
4326,4,3680.447565597702
4542,4,3861.3057099005787
5609,4,4763.086841976791
2972,4,2531.663770096563
3260,4,2769.453485313831
1867,4,1583.9987906192023
4711,4,3987.143418380295
6602,4,5348.921242399852
3828,4,3020.576317686861
6109,4,4970.7064153675365
3398,4,2762.5044453235205
6151,4,4706.158863887901
5493,4,4672.3748512026195
2069,4,1754.7345453452374
6016,3,4693.402045604688
4353,4,3520.3447585760728
5289,4,4288.159424140782
1436,4,1167.99145974487
3153,4,2553.4896876018747
2888,2,1786.875723732967
4334,4,3672.7619245193446
5907,4,5019.3988467611125
2912,4,2238.2168811345036
3621,4,2767.559322216202
4162,4,3182.1157531820318
38,0,27.519330833910224
70,0,53.23787428118943
530,0,412.7771425976029
0,0,0.0
1104,0,487.3981375947486
3785,2,2465.16526235913
1809,1,1173.6242446627161
4487,2,2382.5127121547926
5789,0,3046.7455103409375
4812,3,2985.6871921848006
3744,2,1939.8364082802536
4799,2,2959.0497192751413
4566,2,3077.729418103069
2869,3,2024.8560807558854
3684,3,2886.934779292153
3572,4,3043.063824384075
5219,2,3854.0027471067565
3790,3,2688.477413406551
3465,2,2697.5607240483146
4082,1,2925.6396208331084
1627,3,1098.9095230030428
6608,3,5073.615743077761
4174,2,2909.986923219194
4023,1,3054.4995140111328
3104,3,2295.474842100837
3074,1,1993.0689789129983
3992,1,2817.3509750335934
4478,3,3371.0397547199555
4996,4,4237.656451633113
2026,3,1445.4082160854157
5674,2,4284.30959531991
5792,3,4317.291037889842
4635,2,3512.9093629202266
4467,1,3146.394803041395
3375,2,2346.214621507252
3872,1,2646.504192318366
5540,4,4565.074833863045
5048,3,3943.256132062617
